Model ID	Model Family Name	Description
PF10986.11	DUF2796	Protein of unknown function (DUF2796)
PF10987.11	DUF2806	Protein of unknown function (DUF2806)
PF10988.11	DUF2807	Putative auto-transporter adhesin, head GIN domain
PF10989.11	DUF2808	Protein of unknown function (DUF2808)
PF10990.11	DUF2809	Protein of unknown function (DUF2809)
PF10991.11	DUF2815	Protein of unknown function (DUF2815)
PF10993.11	DUF2818	Protein of unknown function (DUF2818)
PF10994.11	DUF2817	Protein of unknown function (DUF2817)
PF10998.11	DUF2838	Protein of unknown function (DUF2838)
PF10999.11	DUF2839	Protein of unknown function (DUF2839)
PF11000.11	DUF2840	Protein of unknown function (DUF2840)
PF11001.11	DUF2841	Protein of unknown function (DUF2841)
PF11003.11	DUF2842	Protein of unknown function (DUF2842)
PF11005.11	DUF2844	Protein of unknown function (DUF2844)
PF11006.11	DUF2845	Protein of unknown function (DUF2845)
PF11008.11	DUF2846	Protein of unknown function (DUF2846)
PF11009.11	DUF2847	Protein of unknown function (DUF2847)
PF11010.11	DUF2848	Protein of unknown function (DUF2848)
PF11011.11	DUF2849	Protein of unknown function (DUF2849)
PF11012.11	DUF2850	Protein of unknown function (DUF2850)
PF11013.11	DUF2851	Protein of unknown function (DUF2851)
PF11014.11	DUF2852	Protein of unknown function (DUF2852)
PF11015.11	DUF2853	Protein of unknown function (DUF2853)
PF11016.11	DUF2854	Protein of unknown function (DUF2854)
PF11017.11	DUF2855	Protein of unknown function (DUF2855)
PF11019.11	DUF2608	Protein of unknown function (DUF2608)
PF11020.11	DUF2610	Domain of unknown function (DUF2610)
PF11021.11	DUF2613	Protein of unknown function (DUF2613)
PF11023.11	DUF2614	Zinc-ribbon containing domain
PF11026.11	DUF2721	Protein of unknown function (DUF2721)
PF11027.11	DUF2615	Protein of unknown function (DUF2615)
PF11028.11	DUF2723	Protein of unknown function (DUF2723)
PF11039.11	DUF2824	Protein of unknown function (DUF2824)
PF11041.11	DUF2612	Protein of unknown function (DUF2612)
PF11042.11	DUF2750	Protein of unknown function (DUF2750)
