Model ID	Model Family Name	Description
PF01345.21	DUF11	Domain of unknown function DUF11
PF01519.19	DUF16	Protein of unknown function DUF16
PF01579.21	DUF19	Domain of unknown function (DUF19)
PF01629.19	DUF22	Domain of unknown function DUF22
PF01724.19	DUF29	Domain of unknown function DUF29
PF01865.19	PhoU_div	Protein of unknown function DUF47
PF01882.21	DUF58	Protein of unknown function DUF58
PF01886.19	DUF61	Protein of unknown function DUF61
PF01889.20	DUF63	Membrane protein of unknown function DUF63
PF01904.21	DUF72	Protein of unknown function DUF72
PF01930.20	Cas_Cas4	Domain of unknown function DUF83
PF01931.21	NTPase_I-T	Protein of unknown function DUF84
PF01935.20	DUF87	Helicase HerA, central domain
PF01940.19	DUF92	Integral membrane protein DUF92
PF01949.19	DUF99	Protein of unknown function DUF99
PF01976.20	DUF116	Protein of unknown function DUF116
PF01982.19	CTP-dep_RFKase	Domain of unknown function DUF120
PF01986.19	DUF123	Domain of unknown function DUF123
PF01998.20	DUF131	Protein of unknown function DUF131
PF02001.19	DUF134	Protein of unknown function  DUF134
PF02582.17	DUF155	RMND1/Sif2-Sif3/Mrx10, DUF155
PF02593.17	DUF166	Domain of unknown function
PF02594.19	DUF167	Uncharacterised ACR, YggU family COG1872
PF02596.18	DUF169	Uncharacterised ArCR, COG2043
PF02622.18	DUF179	Uncharacterized ACR, COG1678
PF02639.17	DUF188	Uncharacterized BCR, YaiI/YqxD family COG1671
PF02641.18	DUF190	Uncharacterized ACR, COG1993
PF02643.18	DUF192	Uncharacterized ACR, COG1430
PF02656.18	DUF202	Domain of unknown function (DUF202)
PF02680.17	DUF211	Uncharacterized ArCR, COG1888
PF02681.17	DUF212	Divergent PAP2 family
PF02698.20	DUF218	DUF218 domain
PF02713.17	DUF220	Domain of unknown function DUF220
PF02720.20	DUF222	Domain of unknown function (DUF222)
PF02721.17	DUF223	Domain of unknown function DUF223
PF02890.17	DUF226	Borrelia family of unknown function DUF226
PF02989.17	DUF228	Lyme disease proteins of unknown function
PF02995.20	DUF229	Protein of unknown function (DUF229)
PF03008.17	DUF234	Archaea bacterial proteins of unknown function
PF03057.17	DUF236	DUF236 repeat
PF03072.17	DUF237	Domain of unknown function (DUF237)
PF03086.17	DUF240	Domain of unknown function (DUF240)
PF03103.20	DUF243	Domain of unknown function (DUF243)
PF03112.17	DUF244	Uncharacterized protein family (ORF7) DUF
PF03140.18	DUF247	Plant protein of unknown function
PF03158.16	DUF249	Multigene family 530 protein
PF03190.18	Thioredox_DsbH	Protein of unknown function, DUF255
PF03192.16	DUF257	Pyrococcus protein of unknown function, DUF257
PF03196.16	DUF261	Protein of unknown function, DUF261
PF03235.17	DUF262	Protein of unknown function DUF262
PF03268.17	DUF267	Caenorhabditis protein of unknown function, DUF267
PF03269.17	DUF268	Caenorhabditis protein of unknown function, DUF268
PF03270.16	DUF269	Protein of unknown function, DUF269
PF03312.18	DUF272	Protein of unknown function (DUF272)
PF03314.17	DUF273	Protein of unknown function, DUF273
PF03380.17	DUF282	Caenorhabditis protein of unknown function, DUF282
PF03382.17	DUF285	Mycoplasma protein of unknown function, DUF285
PF03384.17	DUF287	Drosophila protein of unknown function, DUF287
PF03434.16	DUF276	DUF276
PF03436.16	DUF281	Domain of unknown function (DUF281)
PF03445.16	DUF294	Putative nucleotidyltransferase DUF294
PF03478.21	DUF295	Protein of unknown function (DUF295)
PF03564.18	DUF1759	Protein of unknown function (DUF1759)
PF03625.17	DUF302	Domain of unknown function DUF302
PF03713.16	DUF305	Domain of unknown function (DUF305)
PF03729.16	DUF308	Short repeat of unknown function (DUF308)
PF03745.17	DUF309	Domain of unknown function (DUF309)
PF03761.18	DUF316	Nematode trypsin-6-like family
PF03771.19	SPDY	Domain of unknown function (DUF317)
PF03778.16	DUF321	Protein of unknown function (DUF321)
PF03804.16	DUF325	Viral proteins of unknown function
PF03860.19	DUF326	Domain of Unknown Function (DUF326)
PF03885.16	DUF327	Protein of unknown function (DUF327)
PF03891.18	DUF333	Domain of unknown function (DUF333)
PF03904.16	DUF334	Domain of unknown function (DUF334)
PF03984.16	DUF346	Repeat of unknown function (DUF346)
PF03988.15	DUF347	Repeat of Unknown Function (DUF347)
PF03990.17	DUF348	G5-linked-Ubiquitin-like domain
PF03993.15	DUF349	Domain of Unknown Function (DUF349)
PF03994.17	DUF350	Domain of Unknown Function (DUF350)
PF04007.15	DUF354	Protein of unknown function (DUF354)
PF04009.15	DUF356	Protein of unknown function (DUF356)
PF04010.16	DUF357	Protein of unknown function (DUF357)
PF04015.15	DUF362	Domain of unknown function (DUF362)
PF04016.15	DUF364	Putative heavy-metal chelation
PF04017.15	DUF366	Domain of unknown function (DUF366)
PF04018.16	DUF368	Domain of unknown function (DUF368)
PF04019.15	DUF359	Protein of unknown function (DUF359)
PF04025.15	DUF370	Domain of unknown function (DUF370)
PF04027.16	DUF371	Domain of unknown function (DUF371)
PF04028.16	DUF374	Domain of unknown function (DUF374)
PF04033.15	DUF365	Domain of unknown function (DUF365)
PF04037.16	DUF382	Domain of unknown function (DUF382)
PF04063.17	DUF383	Domain of unknown function (DUF383)
PF04064.16	DUF384	Domain of unknown function (DUF384)
PF04070.15	DUF378	Domain of unknown function (DUF378)
PF04074.15	DUF386	YhcH/YjgK/YiaL
PF04087.17	DUF389	Domain of unknown function (DUF389)
PF04123.16	DUF373	Domain of unknown function (DUF373)
PF04149.15	DUF397	Domain of unknown function (DUF397)
PF04165.15	DUF401	Protein of unknown function (DUF401)
PF04167.16	DUF402	Protein of unknown function (DUF402)
PF04175.15	DUF406	Protein of unknown function (DUF406)
PF04214.16	DUF411	Protein of unknown function, DUF
PF04217.16	DUF412	Protein of unknown function, DUF412
PF04219.15	DUF413	Protein of unknown function, DUF
PF04222.15	DUF416	Protein of unknown function (DUF416)
PF04224.15	DUF417	Protein of unknown function, DUF417
PF04235.15	DUF418	Protein of unknown function (DUF418)
PF04238.15	DUF420	Protein of unknown function (DUF420)
PF04239.15	DUF421	Protein of unknown function (DUF421)
PF04241.18	DUF423	Protein of unknown function (DUF423)
PF04242.16	DUF424	Protein of unknown function (DUF424)
PF04248.15	NTP_transf_9	Domain of unknown function (DUF427)
PF04250.16	DUF429	Protein of unknown function (DUF429)
PF04254.16	DUF432	Protein of unknown function (DUF432)
PF04255.17	DUF433	Protein of unknown function (DUF433)
PF04256.15	DUF434	Protein of unknown function (DUF434)
PF04260.15	DUF436	Protein of unknown function (DUF436)
PF04269.15	DUF440	Protein of unknown function, DUF440
PF04276.15	DUF443	Protein of unknown function (DUF443)
PF04282.16	DUF438	Family of unknown function (DUF438)
PF04284.16	DUF441	Protein of unknown function (DUF441)
PF04285.15	DUF444	Protein of unknown function (DUF444)
PF04286.15	DUF445	Protein of unknown function (DUF445)
PF04287.15	DUF446	tRNA pseudouridine synthase C
PF04289.15	DUF447	Protein of unknown function (DUF447)
PF04296.16	YlxR	Protein of unknown function (DUF448)
PF04301.16	DUF452	Protein of unknown function (DUF452)
PF04304.16	DUF454	Protein of unknown function (DUF454)
PF04305.17	DUF455	Protein of unknown function (DUF455)
PF04306.16	DUF456	Protein of unknown function (DUF456)
PF04311.16	DUF459	Protein of unknown function (DUF459)
PF04312.16	DUF460	Protein of unknown function (DUF460)
PF04317.15	DUF463	YcjX-like family, DUF463
PF04318.15	DUF468	Protein of unknown function (DUF468)
PF04322.15	DUF473	Protein of unknown function (DUF473)
PF04325.16	DUF465	Protein of unknown function (DUF465)
PF04332.18	DUF475	Protein of unknown function (DUF475)
PF04334.15	DUF478	Protein of unknown function (DUF478)
PF04337.15	DUF480	Protein of unknown function, DUF480
PF04338.15	DUF481	Protein of unknown function, DUF481
PF04340.15	DUF484	Protein of unknown function, DUF484
PF04341.15	DUF485	Protein of unknown function, DUF485
PF04343.16	DUF488	Protein of unknown function, DUF488
PF04356.15	DUF489	Protein of unknown function (DUF489)
PF04359.17	DUF493	Protein of unknown function (DUF493)
PF04361.16	DUF494	Protein of unknown function (DUF494)
PF04363.15	DUF496	Protein of unknown function (DUF496)
PF04367.16	DUF502	Protein of unknown function (DUF502)
PF04368.16	DUF507	Protein of unknown function (DUF507)
PF04370.15	DUF508	Domain of unknown function (DUF508)
PF04379.17	DUF525	ApaG domain
PF04385.18	FAINT	Domain of unknown function, DUF529
PF04391.15	DUF533	Protein of unknown function (DUF533)
PF04393.16	DUF535	Protein of unknown function (DUF535)
PF04394.17	DUF536	Protein of unknown function, DUF536
PF04398.15	DUF538	Protein of unknown function, DUF538
PF04402.17	SIMPL	Protein of unknown function (DUF541)
PF04405.17	ScdA_N	Domain of Unknown function (DUF542)
PF04407.15	DUF531	Protein of unknown function (DUF531)
PF04409.15	DUF530	Protein of unknown function (DUF530)
PF04415.15	DUF515	Protein of unknown function (DUF515)
PF04417.15	DUF501	Protein of unknown function (DUF501)
PF04418.15	DUF543	Domain of unknown function (DUF543)
PF04430.17	DUF498	Protein of unknown function (DUF498/DUF598)
PF04435.21	SPK	Domain of unknown function (DUF545)
PF04448.15	DUF551	Protein of unknown function (DUF551)
PF04456.15	DUF503	Protein of unknown function (DUF503)
PF04458.15	DUF505	Protein of unknown function (DUF505)
PF04459.15	DUF512	Protein of unknown function (DUF512)
PF04461.16	DUF520	Protein of unknown function (DUF520)
PF04465.15	DUF499	Protein of unknown function (DUF499)
PF04467.15	DUF483	Protein of unknown function (DUF483)
PF04473.15	DUF553	Transglutaminase-like domain
PF04474.15	DUF554	Protein of unknown function (DUF554)
PF04475.15	DUF555	Protein of unknown function (DUF555)
PF04480.15	DUF559	Protein of unknown function (DUF559)
PF04481.15	DUF561	Protein of unknown function (DUF561)
PF04483.15	DUF565	Protein of unknown function (DUF565)
PF04489.16	DUF570	Protein of unknown function (DUF570)
PF04504.17	DUF573	Protein of unknown function, DUF573
PF04507.15	DUF576	Csa1 family
PF04510.15	DUF577	Family of unknown function (DUF577)
PF04526.16	DUF568	Protein of unknown function (DUF568)
PF04532.15	DUF587	Protein of unknown function (DUF587)
PF04569.17	DUF591	Protein of unknown function
PF04574.16	DUF592	Protein of unknown function (DUF592)
PF04578.16	DUF594	Protein of unknown function, DUF594
PF04591.15	DUF596	Protein of unknown function, DUF596
PF04601.16	DUF569	Domain of unknown function (DUF569)
PF04634.15	DUF600	Protein of unknown function, DUF600
PF04642.15	DUF601	Protein of unknown function, DUF601
PF04645.15	DUF603	Protein of unknown function, DUF603
PF04646.15	DUF604	Protein of unknown function, DUF604
PF04654.15	DUF599	Protein of unknown function, DUF599
PF04685.16	DUF608	Glycosyl-hydrolase family 116, catalytic region
PF04746.15	DUF575	Protein of unknown function (DUF575)
PF04747.15	DUF612	Protein of unknown function, DUF612
PF04751.17	DUF615	Protein of unknown function (DUF615)
PF04759.16	DUF617	Protein of unknown function, DUF617
PF04763.15	DUF562	Protein of unknown function (DUF562)
PF04764.15	DUF613	Protein of unknown function (DUF613)
PF04765.16	DUF616	Protein of unknown function (DUF616)
PF04780.15	DUF629	Protein of unknown function (DUF629)
PF04781.15	DUF627	Protein of unknown function (DUF627)
PF04782.15	DUF632	Protein of unknown function (DUF632)
PF04783.15	DUF630	Protein of unknown function (DUF630)
PF04784.17	DUF547	Protein of unknown function, DUF547
PF04788.15	DUF620	Protein of unknown function (DUF620)
PF04789.18	DUF621	Protein of unknown function (DUF621)
PF04819.15	DUF716	Family of unknown function (DUF716)
PF04830.16	DUF637	Possible hemagglutinin (DUF637)
PF04842.15	DUF639	Plant protein of unknown function (DUF639)
PF04854.17	DUF624	Protein of unknown function, DUF624
PF04859.15	DUF641	Plant protein of unknown function (DUF641)
PF04862.15	DUF642	Protein of unknown function (DUF642)
PF04867.15	DUF643	Protein of unknown function (DUF643)
PF04875.15	DUF645	Protein of unknown function, DUF645
PF04890.16	DUF648	Family of unknown function (DUF648)
PF04919.15	DUF655	Protein of unknown function (DUF655)
PF04936.15	DUF658	Protein of unknown function (DUF658)
PF04937.18	DUF659	Protein of unknown function (DUF 659)
PF04978.15	DUF664	Protein of unknown function (DUF664)
PF05003.15	DUF668	Protein of unknown function (DUF668)
PF05037.16	DUF669	Protein of unknown function (DUF669)
PF05055.15	DUF677	Protein of unknown function (DUF677)
PF05056.15	DUF674	Protein of unknown function (DUF674)
PF05057.17	DUF676	Putative serine esterase (DUF676)
PF05075.17	DUF684	Protein of unknown function (DUF684)
PF05077.15	DUF678	Protein of unknown function (DUF678)
PF05078.15	DUF679	Protein of unknown function (DUF679)
PF05079.15	DUF680	Protein of unknown function (DUF680)
PF05080.15	DUF681	Protein of unknown function (DUF681)
PF05085.15	DUF685	Protein of unknown function (DUF685)
PF05095.15	DUF687	Protein of unknown function (DUF687)
PF05097.15	DUF688	Protein of unknown function (DUF688)
PF05113.16	DUF693	Protein of unknown function (DUF693)
PF05114.16	DUF692	Protein of unknown function (DUF692)
PF05117.15	DUF695	Family of unknown function (DUF695)
PF05128.15	DUF697	Domain of unknown function (DUF697)
PF05142.15	DUF702	Domain of unknown function (DUF702)
PF05152.15	DUF705	Protein of unknown function (DUF705)
PF05167.15	DUF711	Uncharacterised ACR (DUF711)
PF05212.15	DUF707	Protein of unknown function (DUF707)
PF05218.17	DUF713	Protein of unknown function (DUF713)
PF05246.14	DUF735	Protein of unknown function (DUF735)
PF05263.14	DUF722	Protein of unknown function (DUF722)
PF05265.16	DUF723	Protein of unknown function (DUF723)
PF05266.17	DUF724	Protein of unknown function (DUF724)
PF05267.15	DUF725	Protein of unknown function (DUF725)
PF05277.15	DUF726	Protein of unknown function (DUF726)
PF05284.15	DUF736	Protein of unknown function (DUF736)
PF05302.14	DUF720	Protein of unknown function (DUF720)
PF05304.15	DUF728	Protein of unknown function (DUF728)
PF05305.17	DUF732	Protein of unknown function (DUF732)
PF05306.14	DUF733	Protein of unknown function (DUF733)
PF05325.14	DUF730	Protein of unknown function (DUF730)
PF05331.14	DUF742	Protein of unknown function (DUF742)
PF05334.16	DUF719	Protein of unknown function (DUF719)
PF05335.16	DUF745	Protein of unknown function (DUF745)
PF05338.15	DUF717	Protein of unknown function (DUF717)
PF05339.14	DUF739	Protein of unknown function (DUF739)
PF05340.15	DUF740	Protein of unknown function (DUF740)
PF05344.14	DUF746	Domain of Unknown Function (DUF746)
PF05346.14	DUF747	Eukaryotic membrane protein family
PF05359.14	DUF748	Domain of Unknown Function (DUF748)
PF05370.14	DUF749	Domain of unknown function (DUF749)
PF05414.14	DUF1717	Viral domain of unknown function (DUF1717)
PF05421.14	DUF751	Protein of unknown function (DUF751)
PF05444.15	DUF753	Protein of unknown function (DUF753)
PF05501.14	DUF755	Domain of unknown function (DUF755)
PF05527.14	DUF758	Domain of unknown function (DUF758)
PF05537.14	DUF759	Borrelia burgdorferi protein of unknown function (DUF759)
PF05542.14	DUF760	Protein of unknown function (DUF760)
PF05553.14	DUF761	Cotton fibre expressed protein
PF05555.14	DUF762	Coxiella burnetii protein of unknown function (DUF762)
PF05559.14	DUF763	Protein of unknown function (DUF763)
PF05561.14	DUF764	Borrelia burgdorferi protein of unknown function (DUF764)
PF05570.14	DUF765	Circovirus protein of unknown function (DUF765)
PF05585.15	DUF1758	Putative peptidase (DUF1758)
PF05589.14	DUF768	Protein of unknown function (DUF768)
PF05590.14	DUF769	Xylella fastidiosa protein of unknown function (DUF769)
PF05595.14	DUF771	Domain of unknown function (DUF771)
PF05598.14	DUF772	Transposase domain (DUF772)
PF05603.15	DUF775	Protein of unknown function (DUF775)
PF05604.14	DUF776	Protein of unknown function (DUF776)
PF05606.14	DUF777	Borrelia burgdorferi protein of unknown function (DUF777)
PF05608.15	DUF778	Protein of unknown function (DUF778)
PF05610.14	DUF779	Protein of unknown function (DUF779)
PF05611.14	DUF780	Caenorhabditis elegans protein of unknown function (DUF780)
PF05619.14	DUF787	Borrelia burgdorferi protein of unknown function (DUF787)
PF05623.15	DUF789	Protein of unknown function (DUF789)
PF05626.14	DUF790	Protein of unknown function (DUF790)
PF05632.14	DUF792	Borrelia burgdorferi protein of unknown function (DUF792)
PF05643.14	DUF799	Putative bacterial lipoprotein (DUF799)
PF05650.14	DUF802	Domain of unknown function (DUF802)
PF05656.17	DUF805	Protein of unknown function (DUF805)
PF05657.14	DUF806	Protein of unknown function (DUF806)
PF05660.14	DUF807	Coxiella burnetii protein of unknown function (DUF807)
PF05661.15	DUF808	Protein of unknown function (DUF808)
PF05663.14	DUF809	Protein of unknown function (DUF809)
PF05673.16	DUF815	Protein of unknown function (DUF815)
PF05674.15	DUF816	Baculovirus protein of unknown function (DUF816)
PF05675.15	DUF817	Protein of unknown function (DUF817)
PF05677.15	DUF818	Chlamydia CHLPS protein (DUF818)
PF05684.15	DUF819	Protein of unknown function (DUF819)
PF05695.15	DUF825	Plant protein of unknown function (DUF825)
PF05696.14	DUF826	Protein of unknown function (DUF826)
PF05705.17	DUF829	Eukaryotic protein of unknown function (DUF829)
PF05734.14	DUF832	Herpesvirus protein of unknown function (DUF832)
PF05754.17	DUF834	Domain of unknown function (DUF834)
PF05763.15	DUF835	Protein of unknown function (DUF835)
PF05787.16	DUF839	Bacterial protein of unknown function (DUF839)
PF05801.14	DUF840	Lagovirus protein of unknown function (DUF840)
PF05811.16	DUF842	Eukaryotic protein of unknown function (DUF842)
PF05832.15	DUF846	Eukaryotic protein of unknown function (DUF846)
PF05852.14	DUF848	Gammaherpesvirus protein of unknown function (DUF848)
PF05867.14	DUF851	Protein of unknown function (DUF851)
PF05895.15	DUF859	Siphovirus protein of unknown function (DUF859)
PF05904.14	DUF863	Plant protein of unknown function (DUF863)
PF05906.14	DUF865	Herpesvirus-7 repeat of unknown function (DUF865)
PF05910.15	DUF868	Plant protein of unknown function (DUF868)
PF05912.14	DUF870	Caenorhabditis elegans protein of unknown function (DUF870)
PF05917.14	DUF874	Helicobacter pylori protein of unknown function (DUF874)
PF05949.15	DUF881	Bacterial protein of unknown function (DUF881)
PF05951.16	Peptidase_M15_2	Bacterial protein of unknown function (DUF882)
PF05957.16	DUF883	DUF883 N-terminal domain
PF05959.14	DUF884	Nucleopolyhedrovirus protein of unknown function (DUF884)
PF05960.14	DUF885	Bacterial protein of unknown function (DUF885)
PF05974.15	DUF892	Domain of unknown function (DUF892)
PF05979.15	DUF896	Bacterial protein of unknown function (DUF896)
PF05987.16	DUF898	Bacterial protein of unknown function (DUF898)
PF05988.15	DUF899	Bacterial protein of unknown function (DUF899)
PF05990.15	DUF900	Alpha/beta hydrolase of unknown function (DUF900)
PF06004.15	DUF903	Bacterial protein of unknown function (DUF903)
PF06006.15	DUF905	Bacterial protein of unknown function (DUF905)
PF06012.15	DUF908	Domain of Unknown Function (DUF908)
PF06014.14	DUF910	Bacterial protein of unknown function (DUF910)
PF06025.15	DUF913	Domain of Unknown Function (DUF913)
PF06028.14	DUF915	Alpha/beta hydrolase of unknown function (DUF915)
PF06030.15	DUF916	Bacterial protein of unknown function (DUF916)
PF06032.15	DUF917	Protein of unknown function (DUF917)
PF06033.14	DUF918	Nucleopolyhedrovirus protein of unknown function (DUF918)
PF06034.14	DUF919	Nucleopolyhedrovirus protein of unknown function (DUF919)
PF06037.14	DUF922	Bacterial protein of unknown function (DUF922)
PF06041.14	DUF924	Bacterial protein of unknown function (DUF924)
PF06048.14	DUF927	Domain of unknown function (DUF927)
PF06051.15	DUF928	Domain of Unknown Function (DUF928)
PF06053.14	DUF929	Domain of unknown function (DUF929)
PF06059.15	DUF930	Domain of Unknown Function (DUF930)
PF06067.14	DUF932	Domain of unknown function (DUF932)
PF06071.16	YchF-GTPase_C	Protein of unknown function (DUF933)
PF06073.15	DUF934	Bacterial protein of unknown function (DUF934)
PF06074.15	DUF935	Protein of unknown function (DUF935)
PF06075.15	DUF936	Plant protein of unknown function (DUF936)
PF06078.14	DUF937	Bacterial protein of unknown function (DUF937)
PF06080.15	DUF938	Protein of unknown function (DUF938)
PF06092.15	DUF943	Enterobacterial putative membrane protein (DUF943)
PF06097.14	DUF945	Bacterial protein of unknown function (DUF945)
PF06103.14	DUF948	Bacterial protein of unknown function (DUF948)
PF06107.14	DUF951	Bacterial protein of unknown function (DUF951)
PF06108.15	DUF952	Protein of unknown function (DUF952)
PF06110.14	DUF953	Eukaryotic protein of unknown function (DUF953)
PF06115.14	DUF956	Domain of unknown function (DUF956)
PF06121.17	DUF959	Domain of Unknown Function (DUF959)
PF06124.14	DUF960	Staphylococcal protein of unknown function (DUF960)
PF06125.14	DUF961	Bacterial protein of unknown function (DUF961)
PF06131.14	DUF963	Schizosaccharomyces pombe repeat of unknown function (DUF963)
PF06147.14	DUF968	Protein of unknown function (DUF968)
PF06149.15	DUF969	Protein of unknown function (DUF969)
PF06157.14	DUF973	Protein of unknown function (DUF973)
PF06159.16	DUF974	Protein of unknown function (DUF974)
PF06161.14	DUF975	Protein of unknown function (DUF975)
PF06163.14	DUF977	Bacterial protein of unknown function (DUF977)
PF06166.15	DUF979	Protein of unknown function (DUF979)
PF06168.14	DUF981	Protein of unknown function (DUF981)
PF06169.15	DUF982	Protein of unknown function (DUF982)
PF06170.15	DUF983	Protein of unknown function (DUF983)
PF06173.15	DUF986	Protein of unknown function (DUF986)
PF06174.14	DUF987	Protein of unknown function (DUF987)
PF06186.14	DUF992	Protein of unknown function (DUF992)
PF06187.14	DUF993	Protein of unknown function (DUF993)
PF06191.15	DUF995	Protein of unknown function (DUF995)
PF06195.16	DUF996	Protein of unknown function (DUF996)
PF06196.15	DUF997	Protein of unknown function (DUF997)
PF06197.16	DUF998	Protein of unknown function (DUF998)
PF06198.14	DUF999	Protein of unknown function (DUF999)
PF06207.14	DUF1002	Protein of unknown function (DUF1002)
PF06210.14	DUF1003	Protein of unknown function (DUF1003)
PF06219.15	DUF1005	Protein of unknown function (DUF1005)
PF06226.16	DUF1007	Protein of unknown function (DUF1007)
PF06231.14	DUF1010	Protein of unknown function (DUF1010)
PF06237.15	DUF1011	Protein of unknown function (DUF1011)
PF06245.14	DUF1015	Protein of unknown function (DUF1015)
PF06260.15	DUF1024	Protein of unknown function (DUF1024)
PF06267.15	DUF1028	Family of unknown function (DUF1028)
PF06269.15	DUF1029	Protein of unknown function (DUF1029)
PF06270.14	DUF1030	Protein of unknown function (DUF1030)
PF06275.14	DUF1031	Protein of unknown function (DUF1031)
PF06279.14	DUF1033	Protein of unknown function (DUF1033)
PF06282.14	DUF1036	Protein of unknown function (DUF1036)
PF06287.14	DUF1039	Protein of unknown function (DUF1039)
PF06288.16	DUF1040	Protein of unknown function (DUF1040)
PF06295.15	DUF1043	Protein of unknown function (DUF1043)
PF06299.15	DUF1045	Protein of unknown function (DUF1045)
PF06304.14	DUF1048	Protein of unknown function (DUF1048)
PF06335.15	DUF1054	Protein of unknown function (DUF1054)
PF06341.14	DUF1056	Protein of unknown function (DUF1056)
PF06342.15	DUF1057	Alpha/beta hydrolase of unknown function (DUF1057)
PF06348.14	DUF1059	Protein of unknown function (DUF1059)
PF06353.15	DUF1062	Protein of unknown function (DUF1062)
PF06356.14	DUF1064	Protein of unknown function (DUF1064)
PF06362.14	DUF1067	Protein of unknown function (DUF1067)
PF06364.15	DUF1068	Protein of unknown function (DUF1068)
PF06370.14	DUF1069	Protein of unknown function (DUF1069)
PF06378.14	DUF1071	Protein of unknown function (DUF1071)
PF06380.14	DUF1072	Protein of unknown function (DUF1072)
PF06381.14	DUF1073	Protein of unknown function (DUF1073)
PF06388.14	DUF1075	Protein of unknown function (DUF1075)
PF06417.15	DUF1077	Protein of unknown function (DUF1077)
PF06435.14	DUF1079	Repeat of unknown function (DUF1079)
PF06448.14	DUF1081	Domain of Unknown Function (DUF1081)
PF06465.16	DUF1087	CHD subfamily II, DUF1087
PF06469.14	DUF1088	Neurobeachin-like, DUF1088
PF06476.15	DUF1090	Protein of unknown function (DUF1090)
PF06477.16	DUF1091	Protein of unknown function (DUF1091)
PF06486.14	DUF1093	Protein of unknown function (DUF1093)
PF06493.14	DUF1096	Protein of unknown function (DUF1096)
PF06496.14	DUF1097	Protein of unknown function (DUF1097)
PF06503.14	DUF1101	Protein of unknown function (DUF1101)
PF06510.14	DUF1102	Protein of unknown function (DUF1102)
PF06513.14	DUF1103	Repeat of unknown function (DUF1103)
PF06518.14	DUF1104	Protein of unknown function (DUF1104)
PF06523.14	DUF1106	Protein of unknown function (DUF1106)
PF06526.15	DUF1107	Protein of unknown function (DUF1107)
PF06531.14	DUF1108	Protein of unknown function (DUF1108)
PF06533.15	DUF1110	Protein of unknown function (DUF1110)
PF06544.15	DUF1115	Protein of unknown function (DUF1115)
PF06545.14	DUF1116	Protein of unknown function (DUF1116)
PF06547.15	DUF1117	Protein of unknown function (DUF1117)
PF06549.15	DUF1118	Protein of unknown function (DUF1118)
PF06551.15	DUF1120	Protein of unknown function (DUF1120)
PF06557.14	DUF1122	Protein of unknown function (DUF1122)
PF06563.14	DUF1125	Protein of unknown function (DUF1125)
PF06568.14	DUF1127	Domain of unknown function (DUF1127)
PF06569.14	DUF1128	Protein of unknown function (DUF1128)
PF06570.14	DUF1129	Protein of unknown function (DUF1129)
PF06572.15	DUF1131	Protein of unknown function (DUF1131)
PF06575.15	DUF1132	Protein of unknown function (DUF1132)
PF06576.14	DUF1133	Protein of unknown function (DUF1133)
PF06587.14	DUF1137	Protein of unknown function (DUF1137)
PF06592.16	DUF1138	Protein of unknown function (DUF1138)
PF06599.14	DUF1139	Protein of unknown function (DUF1139)
PF06600.14	DUF1140	Protein of unknown function (DUF1140)
PF06608.14	DUF1143	Protein of unknown function (DUF1143)
PF06611.15	DUF1145	Protein of unknown function (DUF1145)
PF06612.14	DUF1146	Protein of unknown function (DUF1146)
PF06618.14	DUF1148	Protein of unknown function (DUF1148)
PF06619.14	DUF1149	Protein of unknown function (DUF1149)
PF06620.14	DUF1150	Protein of unknown function (DUF1150)
PF06625.14	DUF1151	Protein of unknown function (DUF1151)
PF06626.15	DUF1152	Protein of unknown function (DUF1152)
PF06627.14	DUF1153	Protein of unknown function (DUF1153)
PF06631.14	DUF1154	Protein of unknown function (DUF1154)
PF06633.14	DUF1155	Protein of unknown function (DUF1155)
PF06634.15	DUF1156	Protein of unknown function (DUF1156)
PF06636.14	DUF1157	Protein of unknown function (DUF1157)
PF06643.14	DUF1158	Protein of unknown function (DUF1158)
PF06649.15	DUF1161	Protein of unknown function (DUF1161)
PF06651.14	DUF1163	Protein of unknown function (DUF1163)
PF06658.15	DUF1168	Protein of unknown function (DUF1168)
PF06666.14	DUF1173	Protein of unknown function (DUF1173)
PF06671.14	DUF1174	Repeat of unknown function (DUF1174)
PF06672.14	DUF1175	Protein of unknown function (DUF1175)
PF06674.14	DUF1176	Protein of unknown function (DUF1176)
PF06675.14	DUF1177	Protein of unknown function (DUF1177)
PF06676.14	DUF1178	Protein of unknown function (DUF1178)
PF06678.14	DUF1179	Protein of unknown function (DUF1179)
PF06679.15	DUF1180	Protein of unknown function (DUF1180)
PF06680.14	DUF1181	Protein of unknown function (DUF1181)
PF06681.16	DUF1182	Protein of unknown function (DUF1182)
PF06683.14	DUF1184	Protein of unknown function (DUF1184)
PF06685.14	DUF1186	Protein of unknown function (DUF1186)
PF06688.14	DUF1187	Protein of unknown function (DUF1187)
PF06691.14	DUF1189	Protein of unknown function (DUF1189)
PF06693.14	DUF1190	Protein of unknown function (DUF1190)
PF06697.15	DUF1191	Protein of unknown function (DUF1191)
PF06698.14	DUF1192	Protein of unknown function (DUF1192)
PF06707.14	DUF1194	Protein of unknown function (DUF1194)
PF06708.14	DUF1195	Protein of unknown function (DUF1195)
PF06711.14	DUF1198	Protein of unknown function (DUF1198)
PF06712.14	DUF1199	Protein of unknown function (DUF1199)
PF06717.14	DUF1202	Protein of unknown function (DUF1202)
PF06718.14	DUF1203	Protein of unknown function (DUF1203)
PF06721.14	DUF1204	Protein of unknown function (DUF1204)
